#{"t_start": 1789551204.1268036, "env_id": "None"}
r,l,t
118.236947,73,46.517575
50.678418,80,47.347547
19.929534,80,48.120337
39.920118,80,48.918252
21.541658,80,49.66384
86.288186,57,50.21968
9.653421,80,51.018812
17.012464,80,51.798573
120.289079,65,52.44742
49.180079,80,53.279622
30.483417,80,54.183514
22.973186,80,54.95379
0.479077,80,55.690282
9.114023,80,57.143248
37.925779,80,57.967397
11.105847,80,58.741049
24.885968,80,59.583333
-0.555524,80,60.289544
6.758865,80,61.050202
3.510814,80,61.828616
21.992172,80,62.635915
9.308841,80,63.404221
38.305271,80,64.21974
18.726985,80,65.059539
47.245505,80,65.850783
6.391448,80,66.652637
38.183351,80,68.161841
21.431343,80,69.068506
16.180528,80,69.901175
123.713956,80,71.097836
26.699442,80,71.976908
84.194122,58,72.649117
4.353417,80,73.548853
33.162799,80,74.44494
107.825341,71,75.203747
18.896258,80,76.077022
28.760721,80,76.92888
9.648356,80,77.783844
45.221964,80,78.683674
20.90614,80,79.769578
16.425785,80,80.636708
22.687701,80,81.523557
21.281686,80,82.393215
14.006586,80,83.281355
13.183181,80,84.095393
8.889109,80,85.071378
40.730658,80,85.935528
22.377015,80,86.896569
15.959087,80,87.831715
25.807371,80,88.764078
26.991956,80,89.664757
24.599231,80,90.560495
15.874099,80,91.747981
2.531372,80,92.741229
17.440537,80,93.667711
31.366883,80,94.516114
26.804789,80,95.357162
35.793392,80,96.251003
6.231238,80,97.06994
38.19244,80,97.899032
5.090017,80,98.722245
15.887795,80,99.61994
14.461466,80,100.474203
11.561618,80,109.628596
11.382512,80,110.719332
7.574057,80,111.546489
9.846517,80,112.365789
22.106484,80,113.185767
23.138706,80,113.951554
68.562612,47,114.498518
2.629873,80,115.381432
10.295021,80,116.27866
2.029702,80,117.100266
80.637289,48,117.625178
93.737382,64,118.410987
32.31868,80,119.30233
14.671369,80,120.129793
112.96779,51,120.710047
30.927401,80,121.584602
43.447348,80,123.076421
10.433491,80,123.876755
18.959591,80,124.69483
41.872832,80,125.671315
37.345821,80,126.551046
81.35696,80,127.388001
31.086866,80,128.224849
29.802773,80,129.121338
17.479958,80,129.96665
8.067286,80,130.782745
18.184991,80,131.601297
15.259146,80,132.43269
37.148746,80,133.590081
30.775662,80,134.43402
5.987913,80,135.307625
41.022638,80,136.10312
8.725054,80,136.929546
42.11696,80,137.73778
13.781377,80,138.527085
26.010091,80,139.473023
15.733475,80,140.217102
54.297347,80,141.06968
29.832439,80,141.925162
41.682558,80,142.780345
4.0878,80,143.568492
41.364037,80,144.636991
65.634634,36,145.061759
11.333299,80,145.910824
17.624217,80,146.751834
58.334254,80,147.75192
16.400128,80,148.544942
63.75092,41,149.051604
16.704976,80,150.08413
27.336289,80,151.002535
4.949776,80,151.814488
22.845488,80,152.619751
2.884621,80,153.541194
15.250831,80,154.416833
14.798727,80,155.237741
121.308766,55,156.22054
24.208769,80,157.218468
5.919711,80,158.075943
20.868152,80,159.018471
11.87674,80,159.803129
37.912252,80,160.579984
24.075675,80,161.493769
49.830796,80,162.33053
23.945515,80,163.210974
16.58946,80,163.974337
7.635483,80,172.412793
68.280235,39,172.91319
20.658766,80,173.76981
21.391293,80,174.674101
105.06948,44,175.490959
36.447545,80,176.30777
134.510345,58,176.869848
29.638475,80,177.657531
4.887199,80,178.5393
22.854014,80,179.393423
70.904684,44,179.908754
53.847986,80,180.768951
28.12728,80,181.619856
22.225673,80,182.505033
81.039612,62,183.208452
48.544462,80,184.066347
14.382613,80,184.935953
20.435256,80,185.747278
42.081015,80,187.245965
40.234575,80,187.986649
14.27016,80,188.820129
30.822075,80,189.58857
26.440803,80,190.41579
11.825814,80,191.297937
34.514236,80,192.042424
10.088971,80,192.821775
32.707322,80,193.600529
8.064137,80,194.366491
163.917845,77,195.155532
16.928946,80,195.9392
30.161131,80,196.745012
11.554268,80,197.95428
27.625772,80,198.817671
19.822868,80,199.752695
10.323798,80,200.593814
13.210875,80,201.425204
15.924251,80,202.207438
13.169271,80,203.075262
203.17078,80,203.879107
24.610199,80,204.768484
35.344284,80,205.58529
15.380998,80,206.47019
29.17463,80,207.31811
64.332138,80,208.34835
56.940929,80,209.832792
5.372523,80,210.633268
41.527259,80,211.446146
20.990735,80,212.210496
35.289138,80,213.057647
16.756569,80,214.004869
4.598265,80,214.819045
-0.973308,80,215.650046
13.71381,80,216.496414
19.732706,80,217.291259
14.666812,80,218.42529
16.61433,80,219.265196
11.965248,80,220.458186
49.589868,80,221.307398
43.79257,80,222.085594
10.469574,80,222.899928
36.423309,80,223.849192
46.274579,80,224.771205
23.553486,80,225.622007
29.456488,80,226.492882
37.813867,80,227.280797
21.420839,80,235.868906
15.681942,80,236.666239
22.710219,80,237.434507
44.589159,80,238.216183
9.010012,80,239.415122
24.007342,80,240.353268
58.836244,80,241.140873
11.724895,80,242.029662
41.448294,80,242.963736
16.321348,80,243.85217
14.642775,80,244.752061
5.13451,80,245.696376
12.706547,80,246.489043
26.304649,80,247.296201
35.647268,80,248.234067
36.535808,80,249.044994
85.637354,80,250.277642
9.495215,80,251.359107
12.309233,80,252.13748
9.25892,80,252.988258
25.129765,80,253.832128
21.01438,80,254.75297
25.496189,80,255.59435
54.308531,80,256.445703
30.974032,80,257.275842
43.99357,80,258.115046
35.110528,80,258.912536
76.540957,80,259.83218
185.148274,80,260.700865
44.119248,80,261.552792
9.838211,80,262.617251
59.21544,80,263.455194
171.899621,80,264.318147
22.290966,80,265.155656
23.727825,80,266.086003
190.752164,80,267.012224
44.304334,80,267.867629
37.350154,80,268.75291
67.752606,80,269.624254
63.303712,80,270.469599
31.884318,80,271.285649
36.41773,80,272.099084
25.099362,80,272.933035
12.544822,80,274.028108
212.372596,76,274.879913
182.098399,70,275.835248
44.68643,80,276.786094
9.280358,80,277.600227
166.211497,75,278.439898
12.511295,80,279.258864
15.822815,80,280.079532
8.544107,80,280.819671
31.627795,80,281.641122
194.308034,78,282.458894
23.305896,80,283.297159
61.374277,80,284.181354
28.585296,80,285.34849
166.504175,65,286.04424
20.337489,80,286.892997
14.546235,80,287.707971
14.809667,80,288.53848
20.978073,80,289.314423
6.705819,80,290.271412
5.138228,80,299.441934
94.133864,80,300.22664
187.166746,80,301.114566
7.680477,80,301.956421
23.878966,80,302.862224
13.184605,80,303.800392
8.192361,80,305.401922
27.68023,80,306.344323
25.289532,80,307.374775
16.974254,80,308.326767
15.733521,80,309.192725
23.799031,80,310.248566
-3.157568,80,311.022199
17.997423,80,311.908389
98.215196,49,312.47651
14.182669,80,313.43622
46.137716,80,314.316433
14.360486,80,315.134536
11.144932,80,315.874545
16.07192,80,317.006656
13.589887,80,317.806408
35.194103,80,318.630714
19.543099,80,319.477015
31.959854,80,320.307874
0.490108,80,321.09884
33.045414,80,321.901889
7.422093,80,322.911434
20.487907,80,323.770577
24.220951,80,324.656228
32.875571,80,325.589743
41.678577,80,326.41024
23.007321,80,327.225233
19.960976,80,328.460791
25.153564,80,329.240362
142.806864,80,330.141109
8.978499,80,331.053565
15.426015,80,331.939734
42.405797,80,332.844812
140.073396,80,333.785219
46.47499,80,334.628326
36.89298,80,335.499685
59.737638,80,336.443783
209.744657,80,337.351719
35.258541,80,338.19801
16.920608,80,339.356295
9.157902,80,340.209174
63.843115,80,341.121073
37.345516,80,341.983585
121.934768,80,342.875062
17.449516,80,343.690837
99.743816,80,344.522126
63.074065,80,345.44568
26.8275,80,346.335166
20.199301,80,347.609467
8.094894,80,348.458902
47.22251,80,349.419229
51.165779,80,350.500806
24.535098,80,351.732239
6.735067,80,352.677776
16.852916,80,353.65182
82.764565,42,354.228127
53.451117,80,355.090702
40.309913,80,355.883381
19.672774,80,365.250906
3.706648,80,366.143803
14.495344,80,366.954115
18.360438,80,367.805421
71.709812,80,368.644241
45.855218,80,369.422821
25.914431,80,370.416846
