#{"t_start": 1790107644.8235192, "env_id": "None"}
r,l,t
69.470808,80,38.172046
98.37656,80,39.042591
33.011646,80,39.912197
29.006798,80,40.734366
10.388875,80,41.504958
94.998085,59,42.06244
19.641261,80,42.840916
24.591816,80,43.577333
12.177372,80,44.312629
7.124264,80,45.050544
14.55899,80,45.812498
25.107138,80,46.598112
58.454236,80,47.358552
29.855185,80,48.389759
33.856196,80,49.147432
11.442469,80,49.868216
34.207655,80,50.640584
29.58032,80,51.357532
18.028219,80,52.13708
51.315939,80,52.916213
46.78149,80,53.646446
92.281088,71,54.328018
94.004227,80,55.140117
23.738575,80,55.922655
36.583344,80,56.707846
31.723742,80,57.696727
12.190573,80,58.461081
27.465141,80,59.209875
22.346386,80,59.943274
81.797201,80,60.759555
28.342003,80,61.580467
42.436953,80,62.451432
51.738577,80,63.231546
39.362126,80,64.068264
57.832464,80,64.864409
25.748866,80,65.644909
27.595296,80,66.411476
10.336495,80,67.208938
43.234455,80,68.23514
31.099905,80,69.131678
17.893646,80,69.953917
25.760228,80,70.764233
17.83408,80,71.399393
58.255457,80,72.151314
8.232855,80,73.04091
26.612692,80,73.790214
27.055895,80,74.547881
2.49698,80,75.333587
18.147328,80,76.085032
44.809923,80,76.894613
82.848122,47,77.366231
22.383626,80,78.439417
14.246992,80,79.206264
9.140491,80,79.994755
28.040707,80,80.75465
48.203093,80,81.469038
126.291477,75,82.13593
33.213875,80,82.889286
24.407847,80,83.543948
88.382289,66,84.187368
7.673283,80,84.97275
6.045345,80,85.685761
23.205567,80,86.375013
-3.583968,80,95.274293
25.146113,80,96.030763
5.502928,80,97.052976
20.444151,80,97.78562
23.520964,80,98.660938
34.31386,80,99.45357
61.477066,54,100.001572
6.05307,80,100.730818
16.901939,80,101.458163
2.477387,80,102.163643
46.592282,80,102.882637
14.509674,80,103.569417
30.89088,80,104.252853
101.144944,65,104.873624
45.472812,80,105.693189
19.693816,80,106.641928
81.209512,43,107.10613
13.861137,80,107.906605
30.118592,80,108.665216
45.147932,80,109.460539
14.602466,80,110.355944
24.829692,80,111.142458
30.20574,80,111.90509
55.831122,80,112.712978
15.841131,80,113.505559
8.255762,80,114.275244
36.076761,80,115.115881
68.263498,80,115.949364
4.815058,80,116.961486
12.061076,80,117.691845
0.349268,80,118.449003
26.905351,80,119.251563
25.346615,80,120.086467
22.643418,80,120.881274
18.557549,80,121.667457
20.713302,80,122.405095
18.299264,80,123.203799
47.538096,80,123.991678
46.702726,80,124.884753
34.820216,80,125.680318
29.358112,80,126.520525
19.337522,80,127.495113
14.853188,80,128.408221
24.11486,80,129.21167
15.83689,80,129.996172
31.915535,80,130.795737
118.030192,51,131.33653
4.778728,80,132.156889
61.257931,37,132.63297
52.259771,80,133.554292
39.632404,80,134.37301
18.000636,80,135.16379
